SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
KP20,KUMARA PATCH,Flake,34.7,24.5,3.5,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP21,KUMARA PATCH,Debitage,23.9,14.2,2.3,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP22,KUMARA PATCH,Flake,18.5,15.6,3.6,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP23,KUMARA PATCH,Flake,27.5,23.2,8.1,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP24,KUMARA PATCH,Flake,44.1,28.3,5.4,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP25,KUMARA PATCH,Debitage,23.7,9,4.9,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP26,KUMARA PATCH,Debitage,35.5,21.1,2.5,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP27,KUMARA PATCH,Flake,14.7,21.7,2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP28,KUMARA PATCH,Flake,23,35.2,10.8,7,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
KP29,KUMARA PATCH,Flake,26.5,29.7,4.8,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP30,KUMARA PATCH,Debitage,37.5,30,5,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
OHW 1,OHAWE,Flake,25.8,31.2,7.2,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 2,OHAWE,Core,48.5,27.6,17.8,20,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 3,OHAWE,Flake,38,40.7,9.5,12,N,Y,Green,Waihi,Hahei,Y,,,,,,,,,,,,
OHW 4,OHAWE,Flake,19.5,33.5,9.3,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 5,OHAWE,Flake,27.2,38.7,8.3,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 6,OHAWE,Flake,41.4,50.2,11.2,20,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 7,OHAWE,Flake,26.7,33.1,8,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 8,OHAWE,Flake,18.9,23.1,5.8,2,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 9,OHAWE,Core,33.2,18.3,10,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 10,OHAWE,Core,29.1,27,13,7,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 11,OHAWE,Flake,22.1,23.1,3.9,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
